鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
仁愛區,建物,基隆市仁愛區仁二路１１９巷５４號,0.0,,,,1140119,土地0建物1車位0,全,二層,透天厝,住家用,磚造,0460600,102.21,2,1,1,有,無,4000000,39135,,0.0,0,建物坐落地號：延平段526-1地號；未登記建物；,RPPOMLKLKHKGFDC37DA,102.21,0.0,0.0,無,12
中正區,房地(土地+建物),基隆市中正區中正路３３９之５號,35.75,都市：其他:住宅區(住一),,,1140124,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0631005,101.14,3,2,1,有,無,2200000,21752,,0.0,0,,RPPNMLLLKHKGFDC37DA,101.14,0.0,0.0,無,
中山區,土地,新仙洞段500地號,31.54,住,,,1140120,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1194105,37860,,0.0,0,未登記建物；政府機關標讓售；,RPPNMLKLKHKGFDC37EA,0.0,0.0,0.0,無,
中山區,土地,大德段623-1地號,19.6,住,,,1140117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5163040,263420,,0.0,0,政府機關標讓售；,RPSNMLLLKHKGFDC77EA,0.0,0.0,0.0,無,
七堵區,土地,長安段274-13地號,3.53,,鄉村區,乙種建築用地,1140121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,74000,20963,,0.0,0,,RPTRMLMKKHKGFDC18DA,0.0,0.0,0.0,無,
中正區,房地(土地+建物),基隆市中正區中正路６５６巷３５之７號,24.25,住,,,1140123,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640215,60.9,2,2,1,有,無,3300000,54187,,0.0,0,頂樓加蓋；,RPVNMLNKKHKGFDC08DA,60.9,0.0,0.0,無,13
七堵區,土地,瑪陵坑段西勢仙洞湖小段119-2地號,1251.0,,山坡地保育區,農牧用地,1140113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4140810,3310,,0.0,0,,RPUNMLTKKHKGFDC58DA,0.0,0.0,0.0,無,
信義區,房地(土地+建物),基隆市信義區仁一路３號９樓,9.16,商,,,1140108,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821224,115.65,3,2,2,有,有,10350000,89494,,0.0,0,陽台外推；,RPXNMLTKKHKGFDC88DA,97.98,0.36,7.35,有,
中正區,房地(土地+建物)+車位,基隆市中正區調和街２９８號十一樓之５,24.3,住,,,1140118,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080212,124.60999999999999,2,2,1,有,有,8600000,69015,坡道平面,0.0,0,,RPTNMLKLKHKGFDC67DA,62.06,4.94,7.32,有,14
信義區,房地(土地+建物),基隆市信義區深澳坑路２之５４號４樓,18.04,住,,,1140106,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830622,105.75,3,2,2,有,有,6080000,57494,,0.0,0,,RPVNMLKLKHKGFDC87DA,84.32,0.0,9.1,有,
