鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹東鎮,租賃房屋,新竹縣竹東鎮中豐路三段１９號６樓,0.0,,,,1140124,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820520,159.46,4,2,2,有,有,有,14000,88,,0.0,0,,RPPNMLQJKHKGFCJ38CC,整棟(戶)出租,有,1140125~1150124,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
新豐鄉,租賃房屋,新竹縣新豐鄉新興路３５巷２６弄１之１號,0.0,,,,1140123,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810118,31.59,1,0,1,有,有,有,8000,253,,0.0,0,,RPPNMLQJKHKGFDJ48CC,獨立套房,有,1140216~1150215,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,社會住宅包租轉租
新豐鄉,租賃房屋,新竹縣新豐鄉新興路３５巷８之２號南室,0.0,,,,1140123,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,36.06,1,0,1,有,有,有,8000,222,,0.0,0,租金總額含管理費；,RPQNMLQJKHKGFDJ58CC,獨立套房,有,1140205~1150204,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,社會住宅包租轉租
湖口鄉,租賃房屋,新竹縣湖口鄉大智路６６巷１１號四樓之３,0.0,,,,1140126,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100730,21.54,3,0,3,有,無,有,11800,548,,0.0,0,租金總額含水費；瓦斯費；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLKKKHKGFDJ97CC,分租套房,無,1140126~1150214,有,冷氣、熱水器、冰箱,一般代管
竹北市,租賃房屋,新竹縣竹北市福興路７５５巷２７弄２８號,0.0,,,,1140123,土地0建物0車位0,全,5,透天厝,商業用,鋼筋混凝土造,0940104,23.14,35,35,35,有,無,有,14000,605,,0.0,0,租金總額含水費；含增建或未登記建物；,RPPNMLMKKHKGFBJ97CC,分租套房,無,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市中華路４０８巷５５號四樓,16.76,商,,,1140121,土地1建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820212,140.1,3,2,2,有,有,無,18000,128,,0.0,0,,RPQNMLSKKHKGFBJ68CC,整棟(戶)出租,有,1140130~1150129,有,熱水器、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市三民路５４８號九樓之一,3.01,住,,,1140121,土地2建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850703,27.85,1,1,1,有,無,有,7500,269,,0.0,0,續租案件；,RPRNMLSKKHKGFBJ78CC,獨立套房,無,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市文孝街８８號八樓,33.28,住,,,1140123,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940907,180.35,3,2,2,有,有,有,25700,143,坡道平面,0.0,0,續租案件；,RPQNMLTKKHKGFBJ78CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市福興東路一段２６５號四樓,0.0,,,,1140121,土地0建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030527,249.56,4,2,2,有,有,有,86842,348,坡道平面,32.72,0,,RPRNMLTKKHKGFBJ88CC,整棟(戶)出租,有,1140201~1160131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
竹北市,租賃房屋+車位,新竹縣竹北市嘉興三街２６號五樓之七,22.52,住,,,1140131,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060615,141.86,2,1,1,有,有,無,24000,169,坡道平面,0.0,0,,RPSNMLTKKHKGFBJ98CC,整棟(戶)出租,無,1140131~1150130,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
湖口鄉,租賃房屋,新竹縣湖口鄉德和路７６巷２２號二樓之２,13.84,,鄉村區,乙種建築用地,1140123,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930705,48.169999999999995,1,0,1,有,無,有,4800,100,,0.0,0,續租案件；,RPPNMLTKKHKGFDJ88CC,整棟(戶)出租,無,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市博愛街６４２號,0.0,,,,1140124,土地0建物0車位0,三層,4,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,1031120,23.1,50,0,50,有,無,有,8000,346,,0.0,0,租金總額含水費；網路費；,RPRNMLKLKHKGFBJ08CC,分租套房,無,1140102~1150101,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市博愛街６４２號,0.0,,,,1140124,土地0建物0車位0,二層,4,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,1031120,23.1,50,0,50,有,無,有,8000,346,,0.0,0,租金總額含水費；網路費；,RPSNMLKLKHKGFBJ18CC,分租套房,無,1140111~1150110,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市博愛街６４２號,0.0,,,,1140124,土地0建物0車位0,三層,4,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,1031120,23.1,50,0,50,有,無,有,8000,346,,0.0,0,租金總額含水費；網路費；,RPTNMLKLKHKGFBJ28CC,分租套房,無,1140213~1150212,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市博愛街６４２號,0.0,,,,1140124,土地0建物0車位0,四層,4,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,1031120,23.1,50,0,50,有,無,有,8000,346,,0.0,0,租金總額含水費；網路費；,RPUNMLKLKHKGFBJ38CC,分租套房,無,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
