編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLMKKHKGFAU86DA,,53.69,集合住宅,鋼筋混凝土造,113年11月26日,四層,一層 陽台,全筆移轉
RPVNMLMKKHKGFAU86DA,,19.59,共有部份,鋼筋混凝土造,113年11月26日,四層,,持分移轉
RPSNMLSJKHKGFCU27DA,,174.79,住家用,鋼筋混凝土造,113年11月4日,三層,一層 二層 三層 陽台,全筆移轉
RPUNMLSJKHKGFCU47DA,,174.79,住家用,鋼筋混凝土造,113年11月4日,三層,一層 二層 三層 陽台,全筆移轉
RPOOMLSJKHKGFAU76DA,,67.63,集合住宅,鋼筋混凝土造,113年11月26日,四層,二層 陽台,全筆移轉
RPOOMLSJKHKGFAU76DA,,25.38,共有部份,鋼筋混凝土造,113年11月26日,四層,,持分移轉
RPRNMLKLKHKGFAU98DA,,66.13,集合住宅,鋼筋混凝土造,113年11月26日,四層,三層 陽台,全筆移轉
RPRNMLKLKHKGFAU98DA,,24.62,共有部份,鋼筋混凝土造,113年11月26日,四層,,持分移轉
RPSNMLKLKHKGFAU09DA,,66.13,集合住宅,鋼筋混凝土造,113年11月26日,四層,二層 陽台,全筆移轉
RPSNMLKLKHKGFAU09DA,,24.62,共有部份,鋼筋混凝土造,113年11月26日,四層,,持分移轉
RPPNMLOLKHKGFCU86EA,45,115.29,住商用,鋼筋混凝土加強磚造,69年7月19日,二層,一層 二層 騎樓,全筆移轉
RPOOMLOLKHKGFAU56DA,39,96.06,住家用,鋼筋混凝土加強磚造,74年8月12日,二層,一層 二層,全筆移轉
RPTNMLOLKHKGFAU96DA,22,191.76,住家用,鋼筋混凝土造,92年5月27日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPUNMLPLKHKGFAU17DA,54,35.27,住家用,磚造,59年12月25日,一層,一層,全筆移轉
RPXNMLNKKHKGFAU17DA,,67.63,集合住宅,鋼筋混凝土造,113年11月26日,四層,四層 陽台,全筆移轉
RPXNMLNKKHKGFAU17DA,,25.38,共有部份,鋼筋混凝土造,113年11月26日,四層,,持分移轉
RPOOMLRKKHKGFAU76DA,,61.60,集合住宅,鋼筋混凝土造,113年8月8日,十層,五層 陽台,全筆移轉
RPOOMLRKKHKGFAU76DA,,25.93,共有部份,鋼筋混凝土造,113年8月8日,十層,,持分移轉
RPOOMLRKKHKGFAU76DA,,33.45,共有部分（停車空間、車道）,鋼筋混凝土造,113年8月8日,十層,,持分移轉
RPUPMLRKJHKGFAU37DA,,65.59,集合住宅,鋼筋混凝土造,113年8月8日,十層,四層 陽台,全筆移轉
RPUPMLRKJHKGFAU37DA,,27.42,共有部份,鋼筋混凝土造,113年8月8日,十層,,持分移轉
RPUPMLRKJHKGFAU37DA,,33.45,共有部分（停車空間、車道）,鋼筋混凝土造,113年8月8日,十層,,持分移轉
RPRPMLRKJHKGFAU07DA,,52.53,集合住宅,鋼筋混凝土造,113年8月8日,十層,五層 陽台,全筆移轉
RPRPMLRKJHKGFAU07DA,,21.85,共有部份,鋼筋混凝土造,113年8月8日,十層,,持分移轉
RPRPMLRKJHKGFAU07DA,,30.90,共有部分（停車空間、車道）,鋼筋混凝土造,113年8月8日,十層,,持分移轉
RPPPMLRKJHKGFAU86DA,,52.51,集合住宅,鋼筋混凝土造,113年8月8日,十層,二層 陽台,全筆移轉
RPPPMLRKJHKGFAU86DA,,21.85,共有部份,鋼筋混凝土造,113年8月8日,十層,,持分移轉
RPQNMLRKKHKGFAU86DA,37,36.03,住家用,鋼筋混凝土造,76年11月17日,七層,四層,全筆移轉
RPQNMLRKKHKGFAU86DA,37,10.38,共有部份,鋼筋混凝土造,76年11月17日,七層,,持分移轉
RPWPMLRKJHKGFAU57DA,,61.60,集合住宅,鋼筋混凝土造,113年8月8日,十層,八層 陽台,全筆移轉
RPWPMLRKJHKGFAU57DA,,25.93,共有部份,鋼筋混凝土造,113年8月8日,十層,,持分移轉
RPWPMLRKJHKGFAU57DA,,33.45,共有部分（停車空間、車道）,鋼筋混凝土造,113年8月8日,十層,,持分移轉
