編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLQJKHKGFAH18CC,1,58.41,本建物共有部分項目：防空避難室兼停車空間、消防泵浦室、污水雨水機房、蓄水池、梯間、儲藏室、停車空間、電信室、發電機房、台電配電場所、垃圾儲藏室、集合住宅（附屬管委會使用空間、梯間）、水箱、機械室等項。,鋼筋混凝土造,113年1月5日,十四層,,
RPPOMLQJKHKGFAH08CC,20,79.55,住家用,鋼筋混凝土造,94年3月2日,十三層,,
RPPOMLQJKHKGFAH08CC,20,8.26,共有部分,鋼筋混凝土造,94年3月2日,十三層,,
RPPOMLQJKHKGFAH08CC,20,20.93,共有部分,鋼筋混凝土造,94年3月2日,十三層,,
RPQNMLQJKHKGFAH08CC,32,81.25,住家用,鋼筋混凝土造,81年9月4日,六層,,
RPQNMLQJKHKGFAH08CC,32,15.91,共有部分,鋼筋混凝土造,81年9月4日,六層,,
RPSOMLQJKHKGFAH38CC,55,17.00,商業用,加強磚造,58年9月30日,四層,,
RPSNMLQJKHKGFCH48CC,3,5.83,一般服務業,鋼筋混凝土造,111年6月14日,十五層,,
RPSNMLQJKHKGFCH48CC,3,21.77,共有部分：管理委員會使用空間、梯間、機械室、消防水箱、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土造,111年6月14日,十五層,,
RPPNMLQJKHKGFCH18CC,9,76.44,集合住宅,鋼筋混凝土造,105年6月1日,十一層,,
RPPNMLQJKHKGFCH18CC,9,15.35,集合住宅（附屬梯間、附屬機械室、水箱）,鋼筋混凝土造,105年6月1日,十二層,,
RPPNMLQJKHKGFCH18CC,9,53.74,集合住宅（附屬停車空間兼防空避難室）、集合住宅（附屬停車空間、附屬管委會空間）,鋼筋混凝土造,105年6月1日,十二層,,
RPPNMLQJKHKGFDH28CC,31,74.29,住家用,鋼筋混凝土造,83年3月16日,七層,,
RPPNMLQJKHKGFDH28CC,31,17.74,住家用,鋼筋混凝土造,83年3月16日,七層,,
RPOOMLQJKHKGFDH28CC,30,34.00,住家用,鋼筋混凝土造,84年1月26日,十二層,,
RPOOMLQJKHKGFEH38CC,30,128.63,住家用,鋼筋混凝土造,84年4月15日,十三層,,
RPOOMLQJKHKGFEH38CC,30,25.99,共有部分,鋼筋混凝土造,84年4月15日,十三層,,
RPOOMLQJKHKGFEH38CC,30,38.65,停車空間,鋼筋混凝土造,84年4月15日,十三層,,
RPOOMLQJKHKGFEH38CC,30,4.47,共有部分,鋼筋混凝土造,84年4月15日,十三層,,
RPVOMLQJKHKGFBH78CC,17,56.44,住家用,鋼筋混凝土造,97年7月14日,十四層,,
RPVOMLQJKHKGFBH78CC,17,9.41,共有部分,鋼筋混凝土造,97年7月14日,十四層,,
RPVOMLQJKHKGFBH78CC,17,16.06,共有部分,鋼筋混凝土造,97年7月14日,十四層,,
RPUOMLQJKHKGFBH68CC,2,47.73,集合住宅,鋼筋混凝土造,112年3月17日,五層,,
RPUOMLQJKHKGFBH68CC,2,22.55,本共有部分之項目有：停車空間、電信室、樓梯間、電梯機房、水箱、梯廳、梯間及管道間等八項,鋼筋混凝土造,112年3月17日,五層,,
RPRNMLQJKHKGFFH68CC,38,24.00,住家用,鋼筋混凝土造,75年11月3日,五層,,
RPRNMLQJKHKGFFH68CC,38,8.79,共有部分,鋼筋混凝土造,75年11月3日,五層,,
RPSNMLQJKHKGFFH78CC,43,22.09,住家用,鋼筋混凝土造,71年7月6日,五層,,
RPPOMLQJKHKGFEH48CC,16,22.58,住家用,鋼筋混凝土造,98年4月23日,十三層,,
RPPPMLQJKHKGFBH28CC,43,17.00,住家用,鋼筋混凝土造,71年2月27日,五層,,
RPOPMLQJKHKGFBH18CC,34,17.00,住家用,鋼筋混凝土造,79年11月10日,四層,,
RPQNMLRJKHKGFDH48CC,3,92.43,集合住宅,鋼筋混凝土造,111年3月18日,十五層,,
RPQNMLRJKHKGFDH48CC,3,68.63,本共有部分之項目有防空避難室兼停車空間、消防泵浦室、污廢水處理機房、水箱、梯間、機械室、停車空間、發電機房、電信機房、台電配電場所、水景機房、集合住宅（公共服務空間、管理員室、資源回收室、梯間）等十五項,鋼筋混凝土造,111年3月18日,十五層,,
RPQNMLRJKHKGFEH58CC,2,72.07,住家用,鋼筋混凝土造,111年8月30日,九層,,
RPQNMLRJKHKGFEH58CC,2,45.43,共有部分,鋼筋混凝土造,111年8月30日,九層,,
RPQNMLRJKHKGFEH58CC,2,14.39,共有部分,鋼筋混凝土造,111年8月30日,九層,,
RPRNMLRJKHKGFEH68CC,3,33.19,住家用,鋼筋混凝土造,110年11月16日,十三層,,
RPRNMLRJKHKGFEH68CC,3,17.35,共有部分,鋼筋混凝土造,110年11月16日,十三層,,
RPRNMLRJKHKGFEH68CC,3,8.11,共有部分,鋼筋混凝土造,110年11月16日,十三層,,
RPSNMLRJKHKGFBH48CC,30,85.98,住家用,鋼筋混凝土造,83年8月15日,七層,,
RPSNMLRJKHKGFBH48CC,30,8.40,共有部分,鋼筋混凝土造,83年8月15日,七層,,
RPSNMLRJKHKGFBH48CC,30,9.95,共有部分,鋼筋混凝土造,83年8月15日,七層,,
RPWNMLRJKHKGFHH86CC,5,89.49,住家用,鋼筋混凝土造,108年12月5日,十五層,,
RPWNMLRJKHKGFHH86CC,5,19.62,共有部分之項目有：樓梯間、電梯機房、水箱等項。,鋼筋混凝土造,108年12月5日,十五層,,
RPWNMLRJKHKGFHH86CC,5,54.40,共有部分之項目有：停車空間、台電配電場所、管委會使用空間、防空避難室兼停車空間等項。,鋼筋混凝土造,108年12月5日,十五層,,
RPUNMLSJKHKGFAH68CC,24,99.34,住家用,鋼筋混凝土造,89年8月15日,九層,,
RPUNMLSJKHKGFAH68CC,24,33.82,共有部分,鋼筋混凝土造,89年8月15日,九層,,
RPWNMLSJKHKGFBH98CC,3,20.19,集合住宅,鋼筋混凝土造,111年2月7日,五層,,
RPVNMLSJKHKGFAH78CC,25,79.82,住家用,鋼筋混凝土造,88年10月18日,九層,,
RPVNMLSJKHKGFAH78CC,25,8.68,共有部分,鋼筋混凝土造,88年10月18日,九層,,
RPVNMLSJKHKGFAH78CC,25,17.74,共有部分,鋼筋混凝土造,88年10月18日,九層,,
RPQNMLSJKHKGFDH58CC,19,86.76,住家用,鋼筋混凝土造,94年10月20日,10,,
RPQNMLSJKHKGFDH58CC,19,50.67,防空避難室兼停車空間、騎樓、集合住宅、警衛室及公共服務空間、機房,鋼筋混凝土造,94年10月20日,十一層,,
RPQNMLSJKHKGFDH58CC,19,11.25,樓梯間、機房、水箱,鋼筋混凝土造,94年10月20日,十一層,,
RPXNMLSJKHKGFBH09CC,1,80.24,集合住宅,鋼筋混凝土造,113年5月7日,十層,,
RPRPMLKKKHKGFAH87CC,54,21.10,住家用,加強磚造,59年12月28日,三層,,
RPVOMLKKKHKGFAH18CC,11,58.79,住家用,鋼筋混凝土造,103年2月25日,十三層,,
RPVOMLKKKHKGFAH18CC,11,24.98,本共有部分之項目有：集合住宅（附屬防空避難室兼停車空間、消防泵浦室、污水機房、蓄水池、梯間、停車空間、台電配電場所、電信室、發電機室、電錶區、垃圾儲藏室、開放空間、公共服務空間、機房、水箱）等１５項。,鋼筋混凝土造,103年2月25日,十四層,,
RPVNMLSJKHKGFFH66CC,12,117.06,住家用,鋼筋混凝土造,102年5月3日,十五層,,
RPVNMLSJKHKGFFH66CC,12,19.54,本共有項目計有：警衛室、管理委員會使用空間、涼亭、廊道、陽台、防空避難室、停車空間、台電配電場所、排風機房、垃圾處理室、發電機室、泳池機房、冷卻水塔機房、空調機房、電信機房、污水機房、設備機房、公共水箱,鋼筋混凝土造,102年5月3日,十九層,,
RPVNMLSJKHKGFFH66CC,12,35.87,本共有項目計有：防空避難室、停車空間,鋼筋混凝土造,102年5月3日,十九層,,
RPVNMLSJKHKGFFH66CC,12,33.59,本共有項目計有：樓梯間、機房、水箱、儲藏室、電表室、受電箱室、管道間、陽台。,鋼筋混凝土造,102年5月3日,十五層,,
RPWNMLKKKHKGFHH88CC,1,17.42,作業廠房,鋼筋混凝土造,112年8月14日,四層,,
RPPOMLKKKHKGFBH67CC,3,62.74,集合住宅,鋼筋混凝土造,110年10月5日,五層,,
