鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
台東市,租賃房屋,臺東縣臺東市中興路二段４５０巷２８弄３０號二樓,0.0,,,,1140122,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0850628,32.629999999999995,1,0,1,有,有,有,6500,199,,0.0,0,,RPPNMLNLJHKGFAV56CC,整棟(戶)出租,無,1140122~1150121,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
台東市,租賃房屋,臺東縣臺東市傳廣路５３０號五樓之６,0.0,,,,1140121,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0830126,28.83,1,0,1,有,無,有,6000,208,,0.0,0,,RPQNMLNLJHKGFAV66CC,獨立套房,無,1140126~1150125,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
台東市,租賃房屋,臺東縣臺東市中興路二段４５０巷２８弄１２號五樓,0.0,,,,1140124,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0850628,103.93,3,2,2,有,有,有,10000,96,,0.0,0,,RPQNMLOLJHKGFAV76CC,整棟(戶)出租,無,1140124~1150123,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
台東市,租賃房屋+車位,臺東縣臺東市光榮街５７號七樓之一,0.0,,,,1140122,土地0建物1車位1,七層,9,華廈(10層含以下有電梯),集合住宅,ＲＣ造,1070323,193.32,2,1,2,有,有,有,22000,104,坡道平面,30.33,5000,,RPRNMLOLJHKGFAV86CC,整棟(戶)出租,無,1140120~1150119,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市中華路二段３４１號,0.0,,,,1140125,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住宅，避難室,鋼筋混凝土造,0791002,24.79,8,0,8,有,無,有,10000,403,,0.0,0,電視盒一個,RPSNMLLKKHKGFAV66CC,分租套房,無,1140201~1150131,無,冷氣、熱水器、洗衣機、電視機、冰箱,
台東市,租賃房屋,臺東縣臺東市光榮街３９號２樓之２,0.0,,,,1140127,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,ＲＣ造,1070903,41.14,1,0,1,有,無,有,7500,182,,0.0,0,租金總額含管理費；水費；網路費；,RPQNMLPLKHKGFAV96CC,獨立套房,無,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
