編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLOKKHKGFAN58DA,70,68.18,住家用,磚造,44年4月14日,一層,一層,全筆移轉
RPPNMLLKKHKGFDN38DA,44,283.08,廠房、貯藏室、辦公室、宿舍,鋼筋混凝土加強磚造,69年10月8日,三層,一層 二層 三層 地下層,全筆移轉
RPQNMLNKKIJGFBN48DA,1,77.91,集合住宅,鋼筋混凝土造,113年1月30日,十五層,八層 陽台,全筆移轉
RPQNMLNKKIJGFBN48DA,1,70.67,本共有部分項目有：排煙室（梯廳）、安全梯、昇降機間、水箱、機械室、雨污水機房、停車空間、消防機房、水景機房、發電機室、電信室、台電配電室、門廊、管委會使用空間、梯廳、排煙室、戶外安全梯、垃圾處理室、機車停車空間、緊急昇降機、一般昇降機、水錶區等２２項,鋼筋混凝土造,113年1月30日,十五層,,持分移轉
RPPNMLOKKHKGFEN78DA,38,80.76,住家用,鋼筋混凝土造,76年1月26日,二層,一層 二層,全筆移轉
RPQNMLRKKHKGFFN66DA,31,133.39,住家用,鋼筋混凝土造,82年8月19日,四層,一層 二層 三層 四層,全筆移轉
RPTOMLMJJHKGFAN48DA,40,74.35,住家用,鋼筋混凝土造,74年2月8日,五層,一層,全筆移轉
RPTOMLMJJHKGFAN48DA,40,12.91,梯間、避難室,鋼筋混凝土造,74年2月8日,五層,,持分移轉
RPWNMLRKKHKGFDN07DA,,54.64,集合住宅,鋼筋混凝土造,113年12月5日,五層,三層 陽台,全筆移轉
RPWNMLRKKHKGFDN07DA,,24.59,共同使用部份,鋼筋混凝土造,113年12月5日,五層,,持分移轉
RPXNMLRKKHKGFDN17DA,,53.58,集合住宅,鋼筋混凝土造,113年12月5日,五層,三層 陽台,全筆移轉
RPXNMLRKKHKGFDN17DA,,24.59,共同使用部份,鋼筋混凝土造,113年12月5日,五層,,持分移轉
RPOOMLRKKHKGFDN98DA,,53.58,集合住宅,鋼筋混凝土造,113年12月5日,五層,四層 陽台,全筆移轉
RPOOMLRKKHKGFDN98DA,,24.59,共同使用部份,鋼筋混凝土造,113年12月5日,五層,,持分移轉
RPQOMLRKKHKGFDN56DA,,51.71,集合住宅,鋼筋混凝土造,113年12月5日,五層,四層 陽台,全筆移轉
RPQOMLRKKHKGFDN56DA,,24.59,共同使用部份,鋼筋混凝土造,113年12月5日,五層,,持分移轉
RPPNMLMLKHKGFEN68DA,50,59.85,商業用,磚造,64年1月10日,一層,一層 騎樓,全筆移轉
RPSOMLRKKHKGFDN76DA,,54.64,集合住宅,鋼筋混凝土造,113年12月5日,五層,二層 陽台,全筆移轉
RPSOMLRKKHKGFDN76DA,,24.59,共同使用部份,鋼筋混凝土造,113年12月5日,五層,,持分移轉
RPPNMLSLKIJGFAN88DA,40,12.89,梯間、避難室,鋼筋混凝土造,74年2月8日,五層,,持分移轉
RPPNMLSLKIJGFAN88DA,40,83.10,住家用,鋼筋混凝土造,74年2月8日,五層,三層 陽台,全筆移轉
RPWNMLKKKHKGFAN68DA,32,82.88,辦公室、廠房、宿舍、商品陳列式,鋼筋混凝土造,81年12月17日,八層,七層 陽台,全筆移轉
RPWNMLKKKHKGFAN68DA,32,25.99,避難室、停車場、梯間,鋼筋混凝土造,81年12月17日,八層,,持分移轉
RPPNMLKLKHKGFAN18EA,46,90.80,住家用,鋼筋混凝土加強磚造,68年7月4日,二層,一層 二層,全筆移轉
RPSOMLKLKHKGFAN48DA,19,239.87,住宅、停車空間,鋼筋混凝土造,94年10月18日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPOOMLOLKHKGFDN78DA,43,180.00,住家用,鋼筋混凝土造,70年9月3日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPTNMLOLKHKGFGN86DA,17,157.62,店舖、住宅,鋼筋混凝土造,96年7月5日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPRNMLOLKHKGFAN68DA,41,128.38,住家用,鋼筋混凝土造,72年9月27日,四層,一層 二層 三層 四層 騎樓 地下層,持分移轉
RPTNMLKKJHKGFGN88DA,41,1180.41,辦公室．廠房．避難室,鋼架造,73年6月5日,二層,一層 二層 地下層,全筆移轉
RPVOMLMJJHKGFAN68DA,1,172.86,住家用,鋼筋混凝土造,112年7月19日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLLKKHKGFHN56DA,2,57.44,集合住宅,鋼筋混凝土造,111年12月29日,十三層,十二層 陽台 雨遮,全筆移轉
RPTNMLLKKHKGFHN56DA,2,37.95,見其他登記事項,鋼筋混凝土造,111年12月29日,十三層,,持分移轉
RPROMLKKKHKGFDN58DA,,280.78,店舖、住宅,鋼筋混凝土造,113年10月8日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPRNMLLLKHKGFFN88DA,62,209.51,工業用,鋼筋混凝土加強磚造,51年12月20日,一層,一層,全筆移轉
RPUNMLNKKHKGFAN78DA,36,110.16,住家用,加強磚造,77年7月28日,二層,一層 二層,全筆移轉
RPSNMLTKKHKGFEN96DA,32,155.44,住家用,鋼筋混凝土造,82年1月21日,三層,一層 二層 三層,全筆移轉
RPVNMLTKKHKGFAN86DA,34,268.41,住家、停車場、避難室,鋼筋混凝土造,80年1月3日,四層,一層 二層 三層 四層 地下層 見其他登記事項,全筆移轉
RPVNMLTKKHKGFAN86DA,34,32.67,避難室,鋼筋混凝土造,80年1月3日,四層,,持分移轉
