鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
西屯區,租賃房屋+車位,臺中市西屯區臺灣大道四段７６７號８樓之４,15.49,住,,,1140121,土地1建物1車位1,八層,13,辦公商業大樓,商業用,鋼筋混凝土造,0810331,151.5,0,0,0,無,有,無,40000,264,坡道機械,0.0,0,,RPXOMLMKKHKGFCB18CC,,有,1140210~1150209,有,,
西屯區,租賃房屋+車位,臺中市西屯區河南路二段２６２號１１樓之１３,82.45,住,,,1140123,土地1建物1車位2,十一層,13,辦公商業大樓,商業用,鋼筋混凝土造,0800613,327.73,0,0,0,無,有,無,64000,195,坡道機械,0.0,0,租金總額含稅；,RPPPMLMKKHKGFCB47CC,,有,1140225~1170224,有,,
北屯區,租賃房屋+車位,臺中市北屯區敦富路８０６號３樓之１,0.0,,,,1140123,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130627,163.32,2,2,1,有,有,有,26000,180,坡道平面,35.63,3000,,RPTNMLNKKHKGFBB67CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
西屯區,租賃房屋,臺中市西屯區西屯路二段２６８-８巷１號８樓之１９,0.0,,,,1140124,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860408,14.85,1,0,1,有,有,有,8000,539,,0.0,0,,RPSNMLNKKHKGFCB67CC,獨立套房,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
西屯區,租賃房屋+車位,臺中市西屯區惠來路三段１９８之５號十二樓之３,0.0,,,,1140123,土地0建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951219,188.78,3,2,2,有,有,有,32000,170,坡道平面,23.14,0,多人共同承租2；租金總額含管理費；,RPXNMLNKKHKGFCB18CC,整棟(戶)出租,有,1140215~1150214,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
大雅區,租賃房屋,臺中市大雅區學府路４２７巷３３號,0.0,,,,1140123,土地0建物1車位0,見其他登記事項,6,華廈(10層含以下有電梯),集合住宅  人行道  避難室  店舖,鋼筋混凝土造,0821008,170.95999999999998,2,2,1,有,有,有,15000,88,,0.0,0,,RPRNMLNKKHKGFHB08CC,整棟(戶)出租,無,1140203~1170202,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
大里區,租賃房屋+車位,臺中市大里區日新路３１７號５樓之３,0.0,,,,1140124,土地0建物1車位1,五層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100518,159.16,3,2,2,有,有,有,25200,177,坡道平面,38.51,3900,,RPPNMLNKKHKGFIB97CC,整棟(戶)出租,有,1140216~1150215,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
北屯區,租賃房屋+車位,臺中市北屯區松竹路二段３４巷６號八樓之１,0.0,,,,1140122,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071226,160.35,3,2,2,有,有,有,29700,185,一樓平面,43.42,0,租金已扣除管理費3300元,RPRNMLOKKHKGFBB57CC,整棟(戶)出租,有,1140210~1150209,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
北區,租賃房屋,臺中市北區文昌東二街１４２號７樓之１,0.0,,,,1140123,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,0840214,59.89,1,1,1,有,有,有,18000,301,,0.0,0,,RPSNMLOKKHKGFBB67CC,獨立套房,無,1140123~1150122,有,冷氣、熱水器、瓦斯或天然氣,
北屯區,租賃房屋+車位,臺中市北屯區軍榮五街２８號３樓之６,0.0,,,,1140126,土地0建物1車位1,三層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061225,159.71,2,1,2,有,有,有,30000,223,坡道平面,33.91,2000,續租案件；,RPVOMLOKKHKGFBB08CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
